,kWh,num_time,phase
0,319.5,1641168000000000000,0
1,287.5,1641171600000000000,0
2,294.25,1641175200000000000,0
3,288.5,1641178800000000000,0
4,325.5,1641182400000000000,0
5,318.0,1641186000000000000,0
6,323.25,1641189600000000000,0
7,328.0,1641193200000000000,0
8,353.5,1641196800000000000,0
9,331.5,1641200400000000000,0
10,336.0,1641204000000000000,0
11,327.75,1641207600000000000,0
12,361.75,1641211200000000000,0
13,299.5,1641214800000000000,0
14,309.0,1641218400000000000,0
15,282.5,1641222000000000000,0
16,287.0,1641225600000000000,0
17,285.5,1641229200000000000,0
18,282.75,1641232800000000000,0
19,311.25,1641236400000000000,0
20,281.5,1641240000000000000,0
21,282.0,1641243600000000000,0
22,310.0,1641247200000000000,0
23,282.75,1641250800000000000,0
24,281.5,1641254400000000000,0
25,305.0,1641258000000000000,0
26,282.25,1641261600000000000,0
27,286.5,1641265200000000000,0
28,305.0,1641268800000000000,0
29,357.75,1641272400000000000,0
30,329.5,1641276000000000000,0
31,335.25,1641279600000000000,0
32,332.25,1641283200000000000,0
33,325.75,1641286800000000000,0
34,363.0,1641290400000000000,0
35,328.5,1641294000000000000,0
36,317.5,1641297600000000000,0
37,316.5,1641301200000000000,0
38,276.25,1641304800000000000,0
39,279.25,1641308400000000000,0
40,277.5,1641312000000000000,0
41,305.25,1641315600000000000,0
42,282.25,1641319200000000000,0
43,282.25,1641322800000000000,0
44,306.75,1641326400000000000,0
45,287.0,1641330000000000000,0
46,278.0,1641333600000000000,0
47,282.0,1641337200000000000,0
48,305.25,1641340800000000000,0
49,277.5,1641344400000000000,0
50,279.0,1641348000000000000,0
51,308.0,1641351600000000000,0
52,304.0,1641355200000000000,0
53,318.25,1641358800000000000,0
54,341.0,1641362400000000000,0
55,315.0,1641366000000000000,0
56,314.0,1641369600000000000,0
57,305.75,1641373200000000000,0
58,330.5,1641376800000000000,0
59,302.75,1641380400000000000,0
60,298.25,1641384000000000000,0
61,273.0,1641387600000000000,0
