,time,Measure,kWh,label
20,2022-01-03 00:00:00,AB3 - Main 3L,36.75,Non-production
38,2022-01-03 00:15:00,AB3 - Main 3L,36.75,Non-production
60,2022-01-03 00:30:00,AB3 - Main 3L,36.75,Non-production
83,2022-01-03 00:45:00,AB3 - Main 3L,36.75,Non-production
107,2022-01-03 01:00:00,AB3 - Main 3L,36.75,Non-production
114,2022-01-03 01:15:00,AB3 - Main 3L,36.5,Non-production
138,2022-01-03 01:30:00,AB3 - Main 3L,36.25,Non-production
169,2022-01-03 01:45:00,AB3 - Main 3L,36.0,Non-production
189,2022-01-03 02:00:00,AB3 - Main 3L,35.75,Non-production
223,2022-01-03 02:15:00,AB3 - Main 3L,35.875,Non-production
228,2022-01-03 02:30:00,AB3 - Main 3L,36.0,Non-production
268,2022-01-03 02:45:00,AB3 - Main 3L,36.125,Non-production
291,2022-01-03 03:00:00,AB3 - Main 3L,36.25,Non-production
301,2022-01-03 03:15:00,AB3 - Main 3L,36.75,Non-production
325,2022-01-03 03:30:00,AB3 - Main 3L,37.25,Non-production
362,2022-01-03 03:45:00,AB3 - Main 3L,37.75,Non-production
383,2022-01-03 04:00:00,AB3 - Main 3L,38.25,Non-production
397,2022-01-03 04:15:00,AB3 - Main 3L,39.125,Non-production
426,2022-01-03 04:30:00,AB3 - Main 3L,40.0,Non-production
438,2022-01-03 04:45:00,AB3 - Main 3L,40.875,Non-production
463,2022-01-03 05:00:00,AB3 - Main 3L,41.75,Non-production
500,2022-01-03 05:15:00,AB3 - Main 3L,41.8125,Non-production
508,2022-01-03 05:30:00,AB3 - Main 3L,41.875,Non-production
533,2022-01-03 05:45:00,AB3 - Main 3L,41.9375,Non-production
556,2022-01-03 06:00:00,AB3 - Main 3L,42.0,Non-production
574,2022-01-03 06:15:00,AB3 - Main 3L,42.0,Non-production
607,2022-01-03 06:30:00,AB3 - Main 3L,42.0,Non-production
637,2022-01-03 06:45:00,AB3 - Main 3L,42.0,Non-production
662,2022-01-03 07:00:00,AB3 - Main 3L,42.0,Non-production
683,2022-01-03 07:15:00,AB3 - Main 3L,42.0,Non-production
702,2022-01-03 07:30:00,AB3 - Main 3L,42.0,Non-production
715,2022-01-03 07:45:00,AB3 - Main 3L,42.0,Non-production
735,2022-01-03 08:00:00,AB3 - Main 3L,42.0,Non-production
754,2022-01-03 08:15:00,AB3 - Main 3L,41.8125,Non-production
782,2022-01-03 08:30:00,AB3 - Main 3L,41.625,Non-production
798,2022-01-03 08:45:00,AB3 - Main 3L,41.4375,Non-production
