,time,Measure,kWh,label
11,2022-01-03 00:00:00,AB3 - Main 3R,38.775,unclassified
34,2022-01-03 00:15:00,AB3 - Main 3R,38.89375,unclassified
58,2022-01-03 00:30:00,AB3 - Main 3R,39.0125,unclassified
82,2022-01-03 00:45:00,AB3 - Main 3R,39.13125,unclassified
95,2022-01-03 01:00:00,AB3 - Main 3R,39.25,unclassified
121,2022-01-03 01:15:00,AB3 - Main 3R,39.01875,unclassified
143,2022-01-03 01:30:00,AB3 - Main 3R,38.7875,unclassified
167,2022-01-03 01:45:00,AB3 - Main 3R,38.55625000000001,unclassified
197,2022-01-03 02:00:00,AB3 - Main 3R,38.325,unclassified
217,2022-01-03 02:15:00,AB3 - Main 3R,38.49375000000001,unclassified
244,2022-01-03 02:30:00,AB3 - Main 3R,38.6625,unclassified
254,2022-01-03 02:45:00,AB3 - Main 3R,38.83125,unclassified
275,2022-01-03 03:00:00,AB3 - Main 3R,39.0,unclassified
312,2022-01-03 03:15:00,AB3 - Main 3R,40.6125,unclassified
320,2022-01-03 03:30:00,AB3 - Main 3R,42.225,unclassified
348,2022-01-03 03:45:00,AB3 - Main 3R,43.83750000000001,unclassified
377,2022-01-03 04:00:00,AB3 - Main 3R,45.45,unclassified
395,2022-01-03 04:15:00,AB3 - Main 3R,46.425,unclassified
432,2022-01-03 04:30:00,AB3 - Main 3R,47.40000000000001,unclassified
440,2022-01-03 04:45:00,AB3 - Main 3R,48.375,unclassified
458,2022-01-03 05:00:00,AB3 - Main 3R,49.35,unclassified
498,2022-01-03 05:15:00,AB3 - Main 3R,47.96875,unclassified
515,2022-01-03 05:30:00,AB3 - Main 3R,46.58750000000001,unclassified
536,2022-01-03 05:45:00,AB3 - Main 3R,45.20625,unclassified
553,2022-01-03 06:00:00,AB3 - Main 3R,43.825,unclassified
579,2022-01-03 06:15:00,AB3 - Main 3R,43.83750000000001,unclassified
609,2022-01-03 06:30:00,AB3 - Main 3R,43.85,unclassified
626,2022-01-03 06:45:00,AB3 - Main 3R,43.8625,unclassified
