,time,Measure,kWh,label
2,2022-01-03 00:00:00,BS3 - Main 3L,60.5,unclassified
29,2022-01-03 00:15:00,BS3 - Main 3L,60.5,unclassified
64,2022-01-03 00:30:00,BS3 - Main 3L,60.5,unclassified
86,2022-01-03 00:45:00,BS3 - Main 3L,60.5,unclassified
102,2022-01-03 01:00:00,BS3 - Main 3L,60.5,unclassified
122,2022-01-03 01:15:00,BS3 - Main 3L,58.5,unclassified
142,2022-01-03 01:30:00,BS3 - Main 3L,56.5,unclassified
178,2022-01-03 01:45:00,BS3 - Main 3L,54.5,unclassified
191,2022-01-03 02:00:00,BS3 - Main 3L,52.5,unclassified
216,2022-01-03 02:15:00,BS3 - Main 3L,49.0625,unclassified
243,2022-01-03 02:30:00,BS3 - Main 3L,45.625,unclassified
271,2022-01-03 02:45:00,BS3 - Main 3L,42.1875,unclassified
276,2022-01-03 03:00:00,BS3 - Main 3L,38.75,unclassified
310,2022-01-03 03:15:00,BS3 - Main 3L,38.1875,unclassified
338,2022-01-03 03:30:00,BS3 - Main 3L,37.625,unclassified
352,2022-01-03 03:45:00,BS3 - Main 3L,37.0625,unclassified
380,2022-01-03 04:00:00,BS3 - Main 3L,36.5,unclassified
400,2022-01-03 04:15:00,BS3 - Main 3L,36.5,unclassified
413,2022-01-03 04:30:00,BS3 - Main 3L,36.5,unclassified
451,2022-01-03 04:45:00,BS3 - Main 3L,36.5,unclassified
467,2022-01-03 05:00:00,BS3 - Main 3L,36.5,unclassified
483,2022-01-03 05:15:00,BS3 - Main 3L,37.5,unclassified
505,2022-01-03 05:30:00,BS3 - Main 3L,38.5,unclassified
527,2022-01-03 05:45:00,BS3 - Main 3L,39.5,unclassified
554,2022-01-03 06:00:00,BS3 - Main 3L,40.5,unclassified
587,2022-01-03 06:15:00,BS3 - Main 3L,39.25,unclassified
611,2022-01-03 06:30:00,BS3 - Main 3L,38.0,unclassified
638,2022-01-03 06:45:00,BS3 - Main 3L,36.75,unclassified
655,2022-01-03 07:00:00,BS3 - Main 3L,35.5,unclassified
684,2022-01-03 07:15:00,BS3 - Main 3L,35.6875,unclassified
704,2022-01-03 07:30:00,BS3 - Main 3L,35.875,unclassified
724,2022-01-03 07:45:00,BS3 - Main 3L,36.0625,unclassified
741,2022-01-03 08:00:00,BS3 - Main 3L,36.25,unclassified
764,2022-01-03 08:15:00,BS3 - Main 3L,36.125,unclassified
791,2022-01-03 08:30:00,BS3 - Main 3L,36.0,unclassified
800,2022-01-03 08:45:00,BS3 - Main 3L,35.875,unclassified
834,2022-01-03 09:00:00,BS3 - Main 3L,35.75,unclassified
841,2022-01-03 09:15:00,BS3 - Main 3L,35.75,unclassified
874,2022-01-03 09:30:00,BS3 - Main 3L,35.75,unclassified
