,time,Measure,kWh,label
1,2022-01-03 00:00:00,FB3 - Main 3L,38.45,unclassified
41,2022-01-03 00:15:00,FB3 - Main 3L,38.225,unclassified
66,2022-01-03 00:30:00,FB3 - Main 3L,38.0,unclassified
77,2022-01-03 00:45:00,FB3 - Main 3L,37.775,unclassified
108,2022-01-03 01:00:00,FB3 - Main 3L,37.55,unclassified
128,2022-01-03 01:15:00,FB3 - Main 3L,37.5375,unclassified
139,2022-01-03 01:30:00,FB3 - Main 3L,37.525,unclassified
170,2022-01-03 01:45:00,FB3 - Main 3L,37.5125,unclassified
190,2022-01-03 02:00:00,FB3 - Main 3L,37.5,unclassified
218,2022-01-03 02:15:00,FB3 - Main 3L,37.725,unclassified
247,2022-01-03 02:30:00,FB3 - Main 3L,37.95,unclassified
262,2022-01-03 02:45:00,FB3 - Main 3L,38.175,unclassified
290,2022-01-03 03:00:00,FB3 - Main 3L,38.4,unclassified
309,2022-01-03 03:15:00,FB3 - Main 3L,38.375,unclassified
339,2022-01-03 03:30:00,FB3 - Main 3L,38.35,unclassified
344,2022-01-03 03:45:00,FB3 - Main 3L,38.325,unclassified
368,2022-01-03 04:00:00,FB3 - Main 3L,38.3,unclassified
408,2022-01-03 04:15:00,FB3 - Main 3L,38.325,unclassified
415,2022-01-03 04:30:00,FB3 - Main 3L,38.35,unclassified
453,2022-01-03 04:45:00,FB3 - Main 3L,38.375,unclassified
475,2022-01-03 05:00:00,FB3 - Main 3L,38.4,unclassified
481,2022-01-03 05:15:00,FB3 - Main 3L,38.275,unclassified
513,2022-01-03 05:30:00,FB3 - Main 3L,38.15,unclassified
529,2022-01-03 05:45:00,FB3 - Main 3L,38.025,unclassified
569,2022-01-03 06:00:00,FB3 - Main 3L,37.9,unclassified
589,2022-01-03 06:15:00,FB3 - Main 3L,38.15,unclassified
606,2022-01-03 06:30:00,FB3 - Main 3L,38.4,unclassified
622,2022-01-03 06:45:00,FB3 - Main 3L,38.65,unclassified
650,2022-01-03 07:00:00,FB3 - Main 3L,38.9,unclassified
668,2022-01-03 07:15:00,FB3 - Main 3L,38.9,unclassified
705,2022-01-03 07:30:00,FB3 - Main 3L,38.9,unclassified
719,2022-01-03 07:45:00,FB3 - Main 3L,38.9,unclassified
744,2022-01-03 08:00:00,FB3 - Main 3L,38.9,unclassified
755,2022-01-03 08:15:00,FB3 - Main 3L,38.7,unclassified
783,2022-01-03 08:30:00,FB3 - Main 3L,38.5,unclassified
802,2022-01-03 08:45:00,FB3 - Main 3L,38.3,unclassified
833,2022-01-03 09:00:00,FB3 - Main 3L,38.1,unclassified
860,2022-01-03 09:15:00,FB3 - Main 3L,38.08125,unclassified
864,2022-01-03 09:30:00,FB3 - Main 3L,38.0625,unclassified
889,2022-01-03 09:45:00,FB3 - Main 3L,38.04375,unclassified
909,2022-01-03 10:00:00,FB3 - Main 3L,38.025,unclassified
940,2022-01-03 10:15:00,FB3 - Main 3L,38.21875,unclassified
963,2022-01-03 10:30:00,FB3 - Main 3L,38.4125,unclassified
992,2022-01-03 10:45:00,FB3 - Main 3L,38.60625,unclassified
1013,2022-01-03 11:00:00,FB3 - Main 3L,38.8,unclassified
1034,2022-01-03 11:15:00,FB3 - Main 3L,38.6,unclassified
1061,2022-01-03 11:30:00,FB3 - Main 3L,38.4,unclassified
1072,2022-01-03 11:45:00,FB3 - Main 3L,38.2,unclassified
1108,2022-01-03 12:00:00,FB3 - Main 3L,38.0,unclassified
1118,2022-01-03 12:15:00,FB3 - Main 3L,38.125,unclassified
1139,2022-01-03 12:30:00,FB3 - Main 3L,38.25,unclassified
1162,2022-01-03 12:45:00,FB3 - Main 3L,38.375,unclassified
1202,2022-01-03 13:00:00,FB3 - Main 3L,38.5,unclassified
1214,2022-01-03 13:15:00,FB3 - Main 3L,38.5625,unclassified
1241,2022-01-03 13:30:00,FB3 - Main 3L,38.625,unclassified
1271,2022-01-03 13:45:00,FB3 - Main 3L,38.6875,unclassified
1275,2022-01-03 14:00:00,FB3 - Main 3L,38.75,unclassified
1298,2022-01-03 14:15:00,FB3 - Main 3L,38.75,unclassified
1334,2022-01-03 14:30:00,FB3 - Main 3L,38.75,unclassified
1345,2022-01-03 14:45:00,FB3 - Main 3L,38.75,unclassified
1384,2022-01-03 15:00:00,FB3 - Main 3L,38.75,unclassified
1409,2022-01-03 15:15:00,FB3 - Main 3L,38.5625,unclassified
1417,2022-01-03 15:30:00,FB3 - Main 3L,38.375,unclassified
1453,2022-01-03 15:45:00,FB3 - Main 3L,38.1875,unclassified
1478,2022-01-03 16:00:00,FB3 - Main 3L,38.0,unclassified
1494,2022-01-03 16:15:00,FB3 - Main 3L,38.0,unclassified
1512,2022-01-03 16:30:00,FB3 - Main 3L,38.0,unclassified
1544,2022-01-03 16:45:00,FB3 - Main 3L,38.0,unclassified
1563,2022-01-03 17:00:00,FB3 - Main 3L,38.0,unclassified
1577,2022-01-03 17:15:00,FB3 - Main 3L,38.0,unclassified
1610,2022-01-03 17:30:00,FB3 - Main 3L,38.0,unclassified
1631,2022-01-03 17:45:00,FB3 - Main 3L,38.0,unclassified
1642,2022-01-03 18:00:00,FB3 - Main 3L,38.0,unclassified
1683,2022-01-03 18:15:00,FB3 - Main 3L,38.1875,unclassified
1705,2022-01-03 18:30:00,FB3 - Main 3L,38.375,unclassified
1720,2022-01-03 18:45:00,FB3 - Main 3L,38.5625,unclassified
1744,2022-01-03 19:00:00,FB3 - Main 3L,38.75,unclassified
1761,2022-01-03 19:15:00,FB3 - Main 3L,38.75,unclassified
