,time,Measure,kWh,label
15,2022-01-03 00:00:00,MSB1 - Main 1L,119.25,unclassified
24,2022-01-03 00:15:00,MSB1 - Main 1L,118.0,unclassified
53,2022-01-03 00:30:00,MSB1 - Main 1L,116.75,unclassified
70,2022-01-03 00:45:00,MSB1 - Main 1L,115.5,unclassified
110,2022-01-03 01:00:00,MSB1 - Main 1L,114.25,unclassified
124,2022-01-03 01:15:00,MSB1 - Main 1L,115.75,unclassified
147,2022-01-03 01:30:00,MSB1 - Main 1L,117.25,unclassified
172,2022-01-03 01:45:00,MSB1 - Main 1L,118.75,unclassified
188,2022-01-03 02:00:00,MSB1 - Main 1L,120.25,unclassified
205,2022-01-03 02:15:00,MSB1 - Main 1L,120.75,unclassified
248,2022-01-03 02:30:00,MSB1 - Main 1L,121.25,unclassified
264,2022-01-03 02:45:00,MSB1 - Main 1L,121.75,unclassified
285,2022-01-03 03:00:00,MSB1 - Main 1L,122.25,unclassified
306,2022-01-03 03:15:00,MSB1 - Main 1L,122.1875,unclassified
322,2022-01-03 03:30:00,MSB1 - Main 1L,122.125,unclassified
353,2022-01-03 03:45:00,MSB1 - Main 1L,122.0625,unclassified
381,2022-01-03 04:00:00,MSB1 - Main 1L,122.0,unclassified
391,2022-01-03 04:15:00,MSB1 - Main 1L,121.6875,unclassified
422,2022-01-03 04:30:00,MSB1 - Main 1L,121.375,unclassified
446,2022-01-03 04:45:00,MSB1 - Main 1L,121.0625,unclassified
462,2022-01-03 05:00:00,MSB1 - Main 1L,120.75,unclassified
489,2022-01-03 05:15:00,MSB1 - Main 1L,119.6875,unclassified
510,2022-01-03 05:30:00,MSB1 - Main 1L,118.625,unclassified
535,2022-01-03 05:45:00,MSB1 - Main 1L,117.5625,unclassified
560,2022-01-03 06:00:00,MSB1 - Main 1L,116.5,unclassified
577,2022-01-03 06:15:00,MSB1 - Main 1L,116.25,unclassified
600,2022-01-03 06:30:00,MSB1 - Main 1L,116.0,unclassified
621,2022-01-03 06:45:00,MSB1 - Main 1L,115.75,unclassified
647,2022-01-03 07:00:00,MSB1 - Main 1L,115.5,unclassified
679,2022-01-03 07:15:00,MSB1 - Main 1L,117.75,unclassified
686,2022-01-03 07:30:00,MSB1 - Main 1L,120.0,unclassified
726,2022-01-03 07:45:00,MSB1 - Main 1L,122.25,unclassified
734,2022-01-03 08:00:00,MSB1 - Main 1L,124.5,unclassified
769,2022-01-03 08:15:00,MSB1 - Main 1L,126.375,unclassified
794,2022-01-03 08:30:00,MSB1 - Main 1L,128.25,unclassified
811,2022-01-03 08:45:00,MSB1 - Main 1L,130.125,unclassified
824,2022-01-03 09:00:00,MSB1 - Main 1L,132.0,unclassified
849,2022-01-03 09:15:00,MSB1 - Main 1L,133.1875,unclassified
882,2022-01-03 09:30:00,MSB1 - Main 1L,134.375,unclassified
894,2022-01-03 09:45:00,MSB1 - Main 1L,135.5625,unclassified
921,2022-01-03 10:00:00,MSB1 - Main 1L,136.75,unclassified
942,2022-01-03 10:15:00,MSB1 - Main 1L,137.0625,unclassified
965,2022-01-03 10:30:00,MSB1 - Main 1L,137.375,unclassified
987,2022-01-03 10:45:00,MSB1 - Main 1L,137.6875,unclassified
1010,2022-01-03 11:00:00,MSB1 - Main 1L,138.0,unclassified
1032,2022-01-03 11:15:00,MSB1 - Main 1L,136.9375,unclassified
1052,2022-01-03 11:30:00,MSB1 - Main 1L,135.875,unclassified
1087,2022-01-03 11:45:00,MSB1 - Main 1L,134.8125,unclassified
1104,2022-01-03 12:00:00,MSB1 - Main 1L,133.75,unclassified
1127,2022-01-03 12:15:00,MSB1 - Main 1L,127.0625,unclassified
1145,2022-01-03 12:30:00,MSB1 - Main 1L,120.375,unclassified
1165,2022-01-03 12:45:00,MSB1 - Main 1L,113.6875,unclassified
1200,2022-01-03 13:00:00,MSB1 - Main 1L,107.0,unclassified
1207,2022-01-03 13:15:00,MSB1 - Main 1L,107.3125,unclassified
1236,2022-01-03 13:30:00,MSB1 - Main 1L,107.625,unclassified
1259,2022-01-03 13:45:00,MSB1 - Main 1L,107.9375,unclassified
1289,2022-01-03 14:00:00,MSB1 - Main 1L,108.25,unclassified
1311,2022-01-03 14:15:00,MSB1 - Main 1L,108.875,unclassified
1336,2022-01-03 14:30:00,MSB1 - Main 1L,109.5,unclassified
1351,2022-01-03 14:45:00,MSB1 - Main 1L,110.125,unclassified
1368,2022-01-03 15:00:00,MSB1 - Main 1L,110.75,unclassified
