,time,Measure,kWh,label
0,2022-01-03 00:00:00,Mech_Svc_AHU,8.0,unclassified
23,2022-01-03 00:15:00,Mech_Svc_AHU,8.0,unclassified
45,2022-01-03 00:30:00,Mech_Svc_AHU,8.0,unclassified
67,2022-01-03 00:45:00,Mech_Svc_AHU,8.0,unclassified
89,2022-01-03 01:00:00,Mech_Svc_AHU,8.0,unclassified
112,2022-01-03 01:15:00,Mech_Svc_AHU,8.0,unclassified
135,2022-01-03 01:30:00,Mech_Svc_AHU,8.0,unclassified
158,2022-01-03 01:45:00,Mech_Svc_AHU,8.0,unclassified
181,2022-01-03 02:00:00,Mech_Svc_AHU,8.0,unclassified
204,2022-01-03 02:15:00,Mech_Svc_AHU,7.9375,unclassified
227,2022-01-03 02:30:00,Mech_Svc_AHU,7.875,unclassified
250,2022-01-03 02:45:00,Mech_Svc_AHU,7.8125,unclassified
273,2022-01-03 03:00:00,Mech_Svc_AHU,7.75,unclassified
296,2022-01-03 03:15:00,Mech_Svc_AHU,7.8125,unclassified
319,2022-01-03 03:30:00,Mech_Svc_AHU,7.875,unclassified
342,2022-01-03 03:45:00,Mech_Svc_AHU,7.9375,unclassified
365,2022-01-03 04:00:00,Mech_Svc_AHU,8.0,unclassified
388,2022-01-03 04:15:00,Mech_Svc_AHU,8.0,unclassified
411,2022-01-03 04:30:00,Mech_Svc_AHU,8.0,unclassified
434,2022-01-03 04:45:00,Mech_Svc_AHU,8.0,unclassified
457,2022-01-03 05:00:00,Mech_Svc_AHU,8.0,unclassified
480,2022-01-03 05:15:00,Mech_Svc_AHU,8.0,unclassified
503,2022-01-03 05:30:00,Mech_Svc_AHU,8.0,unclassified
526,2022-01-03 05:45:00,Mech_Svc_AHU,8.0,unclassified
549,2022-01-03 06:00:00,Mech_Svc_AHU,8.0,unclassified
572,2022-01-03 06:15:00,Mech_Svc_AHU,8.0625,unclassified
595,2022-01-03 06:30:00,Mech_Svc_AHU,8.125,unclassified
618,2022-01-03 06:45:00,Mech_Svc_AHU,8.1875,unclassified
641,2022-01-03 07:00:00,Mech_Svc_AHU,8.25,unclassified
884,2022-01-03 09:45:00,Mech_Svc_AHU,7.625,unclassified
907,2022-01-03 10:00:00,Mech_Svc_AHU,7.5,unclassified
930,2022-01-03 10:15:00,Mech_Svc_AHU,7.625,unclassified
953,2022-01-03 10:30:00,Mech_Svc_AHU,7.75,unclassified
976,2022-01-03 10:45:00,Mech_Svc_AHU,7.875,unclassified
999,2022-01-03 11:00:00,Mech_Svc_AHU,8.0,unclassified
1022,2022-01-03 11:15:00,Mech_Svc_AHU,8.0,unclassified
1045,2022-01-03 11:30:00,Mech_Svc_AHU,8.0,unclassified
1068,2022-01-03 11:45:00,Mech_Svc_AHU,8.0,unclassified
1091,2022-01-03 12:00:00,Mech_Svc_AHU,8.0,unclassified
