,time,Measure,kWh,label
16,2022-01-03 00:00:00,Paint_AHU,50.25,unclassified
26,2022-01-03 00:15:00,Paint_AHU,50.125,unclassified
52,2022-01-03 00:30:00,Paint_AHU,50.0,unclassified
69,2022-01-03 00:45:00,Paint_AHU,49.875,unclassified
109,2022-01-03 01:00:00,Paint_AHU,49.75,unclassified
125,2022-01-03 01:15:00,Paint_AHU,49.5,unclassified
154,2022-01-03 01:30:00,Paint_AHU,49.25,unclassified
164,2022-01-03 01:45:00,Paint_AHU,49.0,unclassified
200,2022-01-03 02:00:00,Paint_AHU,48.75,unclassified
220,2022-01-03 02:15:00,Paint_AHU,49.125,unclassified
242,2022-01-03 02:30:00,Paint_AHU,49.5,unclassified
255,2022-01-03 02:45:00,Paint_AHU,49.875,unclassified
284,2022-01-03 03:00:00,Paint_AHU,50.25,unclassified
316,2022-01-03 03:15:00,Paint_AHU,50.1875,unclassified
336,2022-01-03 03:30:00,Paint_AHU,50.125,unclassified
346,2022-01-03 03:45:00,Paint_AHU,50.0625,unclassified
382,2022-01-03 04:00:00,Paint_AHU,50.0,unclassified
405,2022-01-03 04:15:00,Paint_AHU,50.0625,unclassified
429,2022-01-03 04:30:00,Paint_AHU,50.125,unclassified
455,2022-01-03 04:45:00,Paint_AHU,50.1875,unclassified
473,2022-01-03 05:00:00,Paint_AHU,50.25,unclassified
497,2022-01-03 05:15:00,Paint_AHU,50.3125,unclassified
524,2022-01-03 05:30:00,Paint_AHU,50.375,unclassified
528,2022-01-03 05:45:00,Paint_AHU,50.4375,unclassified
567,2022-01-03 06:00:00,Paint_AHU,50.5,unclassified
592,2022-01-03 06:15:00,Paint_AHU,50.25,unclassified
612,2022-01-03 06:30:00,Paint_AHU,50.0,unclassified
636,2022-01-03 06:45:00,Paint_AHU,49.75,unclassified
644,2022-01-03 07:00:00,Paint_AHU,49.5,unclassified
675,2022-01-03 07:15:00,Paint_AHU,49.5625,unclassified
688,2022-01-03 07:30:00,Paint_AHU,49.625,unclassified
709,2022-01-03 07:45:00,Paint_AHU,49.6875,unclassified
742,2022-01-03 08:00:00,Paint_AHU,49.75,unclassified
768,2022-01-03 08:15:00,Paint_AHU,49.5625,unclassified
785,2022-01-03 08:30:00,Paint_AHU,49.375,unclassified
812,2022-01-03 08:45:00,Paint_AHU,49.1875,unclassified
835,2022-01-03 09:00:00,Paint_AHU,49.0,unclassified
857,2022-01-03 09:15:00,Paint_AHU,49.0,unclassified
879,2022-01-03 09:30:00,Paint_AHU,49.0,unclassified
901,2022-01-03 09:45:00,Paint_AHU,49.0,unclassified
920,2022-01-03 10:00:00,Paint_AHU,49.0,unclassified
934,2022-01-03 10:15:00,Paint_AHU,49.0625,unclassified
962,2022-01-03 10:30:00,Paint_AHU,49.125,unclassified
981,2022-01-03 10:45:00,Paint_AHU,49.1875,unclassified
1014,2022-01-03 11:00:00,Paint_AHU,49.25,unclassified
1033,2022-01-03 11:15:00,Paint_AHU,48.8125,unclassified
1064,2022-01-03 11:30:00,Paint_AHU,48.375,unclassified
1071,2022-01-03 11:45:00,Paint_AHU,47.9375,unclassified
1105,2022-01-03 12:00:00,Paint_AHU,47.5,unclassified
1125,2022-01-03 12:15:00,Paint_AHU,47.9375,unclassified
1153,2022-01-03 12:30:00,Paint_AHU,48.375,unclassified
1171,2022-01-03 12:45:00,Paint_AHU,48.8125,unclassified
1186,2022-01-03 13:00:00,Paint_AHU,49.25,unclassified
1226,2022-01-03 13:15:00,Paint_AHU,49.0625,unclassified
1246,2022-01-03 13:30:00,Paint_AHU,48.875,unclassified
1254,2022-01-03 13:45:00,Paint_AHU,48.6875,unclassified
1290,2022-01-03 14:00:00,Paint_AHU,48.5,unclassified
1300,2022-01-03 14:15:00,Paint_AHU,48.75,unclassified
1324,2022-01-03 14:30:00,Paint_AHU,49.0,unclassified
1344,2022-01-03 14:45:00,Paint_AHU,49.25,unclassified
1386,2022-01-03 15:00:00,Paint_AHU,49.5,unclassified
1408,2022-01-03 15:15:00,Paint_AHU,49.375,unclassified
1422,2022-01-03 15:30:00,Paint_AHU,49.25,unclassified
1447,2022-01-03 15:45:00,Paint_AHU,49.125,unclassified
1461,2022-01-03 16:00:00,Paint_AHU,49.0,unclassified
1500,2022-01-03 16:15:00,Paint_AHU,48.9375,unclassified
1513,2022-01-03 16:30:00,Paint_AHU,48.875,unclassified
1532,2022-01-03 16:45:00,Paint_AHU,48.8125,unclassified
1568,2022-01-03 17:00:00,Paint_AHU,48.75,unclassified
1589,2022-01-03 17:15:00,Paint_AHU,48.875,unclassified
1602,2022-01-03 17:30:00,Paint_AHU,49.0,unclassified
1636,2022-01-03 17:45:00,Paint_AHU,49.125,unclassified
1644,2022-01-03 18:00:00,Paint_AHU,49.25,unclassified
1676,2022-01-03 18:15:00,Paint_AHU,49.25,unclassified
1689,2022-01-03 18:30:00,Paint_AHU,49.25,unclassified
1727,2022-01-03 18:45:00,Paint_AHU,49.25,unclassified
1748,2022-01-03 19:00:00,Paint_AHU,49.25,unclassified
1758,2022-01-03 19:15:00,Paint_AHU,49.125,unclassified
1786,2022-01-03 19:30:00,Paint_AHU,49.0,unclassified
1804,2022-01-03 19:45:00,Paint_AHU,48.875,unclassified
1840,2022-01-03 20:00:00,Paint_AHU,48.75,unclassified
1866,2022-01-03 20:15:00,Paint_AHU,48.8125,unclassified
1878,2022-01-03 20:30:00,Paint_AHU,48.875,unclassified
1902,2022-01-03 20:45:00,Paint_AHU,48.9375,unclassified
1929,2022-01-03 21:00:00,Paint_AHU,49.0,unclassified
1940,2022-01-03 21:15:00,Paint_AHU,49.0625,unclassified
1980,2022-01-03 21:30:00,Paint_AHU,49.125,unclassified
1986,2022-01-03 21:45:00,Paint_AHU,49.1875,unclassified
2016,2022-01-03 22:00:00,Paint_AHU,49.25,unclassified
2029,2022-01-03 22:15:00,Paint_AHU,49.1875,unclassified
2061,2022-01-03 22:30:00,Paint_AHU,49.125,unclassified
2092,2022-01-03 22:45:00,Paint_AHU,49.0625,unclassified
2110,2022-01-03 23:00:00,Paint_AHU,49.0,unclassified
2128,2022-01-03 23:15:00,Paint_AHU,49.0625,unclassified
2150,2022-01-03 23:30:00,Paint_AHU,49.125,unclassified
2182,2022-01-03 23:45:00,Paint_AHU,49.1875,unclassified
2206,2022-01-04 00:00:00,Paint_AHU,49.25,unclassified
2230,2022-01-04 00:15:00,Paint_AHU,48.8125,unclassified
2254,2022-01-04 00:30:00,Paint_AHU,48.375,unclassified
2268,2022-01-04 00:45:00,Paint_AHU,47.9375,unclassified
2288,2022-01-04 01:00:00,Paint_AHU,47.5,unclassified
2318,2022-01-04 01:15:00,Paint_AHU,47.8125,unclassified
2337,2022-01-04 01:30:00,Paint_AHU,48.125,unclassified
2369,2022-01-04 01:45:00,Paint_AHU,48.4375,unclassified
2379,2022-01-04 02:00:00,Paint_AHU,48.75,unclassified
2398,2022-01-04 02:15:00,Paint_AHU,48.8125,unclassified
2430,2022-01-04 02:30:00,Paint_AHU,48.875,unclassified
2460,2022-01-04 02:45:00,Paint_AHU,48.9375,unclassified
2480,2022-01-04 03:00:00,Paint_AHU,49.0,unclassified
2498,2022-01-04 03:15:00,Paint_AHU,49.0,unclassified
2527,2022-01-04 03:30:00,Paint_AHU,49.0,unclassified
2539,2022-01-04 03:45:00,Paint_AHU,49.0,unclassified
2558,2022-01-04 04:00:00,Paint_AHU,49.0,unclassified
2582,2022-01-04 04:15:00,Paint_AHU,49.0,unclassified
2619,2022-01-04 04:30:00,Paint_AHU,49.0,unclassified
2641,2022-01-04 04:45:00,Paint_AHU,49.0,unclassified
2669,2022-01-04 05:00:00,Paint_AHU,49.0,unclassified
2684,2022-01-04 05:15:00,Paint_AHU,49.0625,unclassified
2707,2022-01-04 05:30:00,Paint_AHU,49.125,unclassified
2723,2022-01-04 05:45:00,Paint_AHU,49.1875,unclassified
2749,2022-01-04 06:00:00,Paint_AHU,49.25,unclassified
2767,2022-01-04 06:15:00,Paint_AHU,49.125,unclassified
2807,2022-01-04 06:30:00,Paint_AHU,49.0,unclassified
2818,2022-01-04 06:45:00,Paint_AHU,48.875,unclassified
2851,2022-01-04 07:00:00,Paint_AHU,48.75,unclassified
2866,2022-01-04 07:15:00,Paint_AHU,48.625,unclassified
2890,2022-01-04 07:30:00,Paint_AHU,48.5,unclassified
2924,2022-01-04 07:45:00,Paint_AHU,48.375,unclassified
2926,2022-01-04 08:00:00,Paint_AHU,48.25,unclassified
2958,2022-01-04 08:15:00,Paint_AHU,47.9375,unclassified
2983,2022-01-04 08:30:00,Paint_AHU,47.625,unclassified
3004,2022-01-04 08:45:00,Paint_AHU,47.3125,unclassified
3027,2022-01-04 09:00:00,Paint_AHU,47.0,unclassified
3049,2022-01-04 09:15:00,Paint_AHU,47.5,unclassified
3085,2022-01-04 09:30:00,Paint_AHU,48.0,unclassified
3100,2022-01-04 09:45:00,Paint_AHU,48.5,unclassified
3121,2022-01-04 10:00:00,Paint_AHU,49.0,unclassified
