,time,Measure,kWh,label
19,2022-01-03 00:00:00,Sub - Feeder F04,0.0,unclassified
30,2022-01-03 00:15:00,Sub - Feeder F04,0.0,unclassified
56,2022-01-03 00:30:00,Sub - Feeder F04,0.0,unclassified
80,2022-01-03 00:45:00,Sub - Feeder F04,0.0,unclassified
90,2022-01-03 01:00:00,Sub - Feeder F04,0.0,unclassified
129,2022-01-03 01:15:00,Sub - Feeder F04,0.0,unclassified
145,2022-01-03 01:30:00,Sub - Feeder F04,0.0,unclassified
166,2022-01-03 01:45:00,Sub - Feeder F04,0.0,unclassified
202,2022-01-03 02:00:00,Sub - Feeder F04,0.0,unclassified
213,2022-01-03 02:15:00,Sub - Feeder F04,0.0,unclassified
241,2022-01-03 02:30:00,Sub - Feeder F04,0.0,unclassified
270,2022-01-03 02:45:00,Sub - Feeder F04,0.0,unclassified
286,2022-01-03 03:00:00,Sub - Feeder F04,0.0,unclassified
302,2022-01-03 03:15:00,Sub - Feeder F04,0.0,unclassified
340,2022-01-03 03:30:00,Sub - Feeder F04,0.0,unclassified
351,2022-01-03 03:45:00,Sub - Feeder F04,0.0,unclassified
371,2022-01-03 04:00:00,Sub - Feeder F04,0.0,unclassified
389,2022-01-03 04:15:00,Sub - Feeder F04,0.0,unclassified
420,2022-01-03 04:30:00,Sub - Feeder F04,0.0,unclassified
444,2022-01-03 04:45:00,Sub - Feeder F04,0.0,unclassified
470,2022-01-03 05:00:00,Sub - Feeder F04,0.0,unclassified
490,2022-01-03 05:15:00,Sub - Feeder F04,0.0,unclassified
521,2022-01-03 05:30:00,Sub - Feeder F04,0.0,unclassified
537,2022-01-03 05:45:00,Sub - Feeder F04,0.0,unclassified
561,2022-01-03 06:00:00,Sub - Feeder F04,0.0,unclassified
578,2022-01-03 06:15:00,Sub - Feeder F04,0.0,unclassified
599,2022-01-03 06:30:00,Sub - Feeder F04,0.0,unclassified
623,2022-01-03 06:45:00,Sub - Feeder F04,0.0,unclassified
660,2022-01-03 07:00:00,Sub - Feeder F04,0.0,unclassified
676,2022-01-03 07:15:00,Sub - Feeder F04,0.0,unclassified
700,2022-01-03 07:30:00,Sub - Feeder F04,0.0,unclassified
720,2022-01-03 07:45:00,Sub - Feeder F04,0.0,unclassified
737,2022-01-03 08:00:00,Sub - Feeder F04,0.0,unclassified
759,2022-01-03 08:15:00,Sub - Feeder F04,0.0,unclassified
784,2022-01-03 08:30:00,Sub - Feeder F04,0.0,unclassified
815,2022-01-03 08:45:00,Sub - Feeder F04,0.0,unclassified
828,2022-01-03 09:00:00,Sub - Feeder F04,0.0,unclassified
844,2022-01-03 09:15:00,Sub - Feeder F04,0.0,unclassified
871,2022-01-03 09:30:00,Sub - Feeder F04,0.0,unclassified
891,2022-01-03 09:45:00,Sub - Feeder F04,0.0,unclassified
923,2022-01-03 10:00:00,Sub - Feeder F04,0.0,unclassified
949,2022-01-03 10:15:00,Sub - Feeder F04,0.0,unclassified
954,2022-01-03 10:30:00,Sub - Feeder F04,0.0,unclassified
986,2022-01-03 10:45:00,Sub - Feeder F04,0.0,unclassified
1002,2022-01-03 11:00:00,Sub - Feeder F04,0.0,unclassified
1029,2022-01-03 11:15:00,Sub - Feeder F04,0.0,unclassified
1063,2022-01-03 11:30:00,Sub - Feeder F04,0.0,unclassified
1088,2022-01-03 11:45:00,Sub - Feeder F04,0.0,unclassified
1107,2022-01-03 12:00:00,Sub - Feeder F04,0.0,unclassified
1135,2022-01-03 12:15:00,Sub - Feeder F04,0.0,unclassified
1148,2022-01-03 12:30:00,Sub - Feeder F04,0.0,unclassified
1178,2022-01-03 12:45:00,Sub - Feeder F04,0.0,unclassified
1192,2022-01-03 13:00:00,Sub - Feeder F04,0.0,unclassified
1208,2022-01-03 13:15:00,Sub - Feeder F04,0.0,unclassified
1234,2022-01-03 13:30:00,Sub - Feeder F04,0.0,unclassified
1255,2022-01-03 13:45:00,Sub - Feeder F04,0.0,unclassified
1288,2022-01-03 14:00:00,Sub - Feeder F04,0.0,unclassified
1312,2022-01-03 14:15:00,Sub - Feeder F04,0.0,unclassified
1326,2022-01-03 14:30:00,Sub - Feeder F04,0.0,unclassified
1358,2022-01-03 14:45:00,Sub - Feeder F04,0.0,unclassified
1377,2022-01-03 15:00:00,Sub - Feeder F04,0.0,unclassified
1402,2022-01-03 15:15:00,Sub - Feeder F04,0.0,unclassified
1412,2022-01-03 15:30:00,Sub - Feeder F04,0.0,unclassified
1446,2022-01-03 15:45:00,Sub - Feeder F04,0.0,unclassified
1467,2022-01-03 16:00:00,Sub - Feeder F04,0.0,unclassified
1497,2022-01-03 16:15:00,Sub - Feeder F04,0.0,unclassified
1511,2022-01-03 16:30:00,Sub - Feeder F04,0.0,unclassified
1539,2022-01-03 16:45:00,Sub - Feeder F04,0.0,unclassified
1553,2022-01-03 17:00:00,Sub - Feeder F04,0.0,unclassified
1591,2022-01-03 17:15:00,Sub - Feeder F04,0.0,unclassified
1611,2022-01-03 17:30:00,Sub - Feeder F04,0.0,unclassified
1620,2022-01-03 17:45:00,Sub - Feeder F04,0.0,unclassified
1651,2022-01-03 18:00:00,Sub - Feeder F04,0.0,unclassified
1664,2022-01-03 18:15:00,Sub - Feeder F04,0.0,unclassified
1702,2022-01-03 18:30:00,Sub - Feeder F04,0.0,unclassified
1719,2022-01-03 18:45:00,Sub - Feeder F04,0.0,unclassified
1749,2022-01-03 19:00:00,Sub - Feeder F04,0.0,unclassified
1768,2022-01-03 19:15:00,Sub - Feeder F04,0.0,unclassified
1797,2022-01-03 19:30:00,Sub - Feeder F04,0.0,unclassified
1806,2022-01-03 19:45:00,Sub - Feeder F04,0.0,unclassified
1835,2022-01-03 20:00:00,Sub - Feeder F04,0.0,unclassified
1852,2022-01-03 20:15:00,Sub - Feeder F04,0.0,unclassified
1879,2022-01-03 20:30:00,Sub - Feeder F04,0.0,unclassified
1912,2022-01-03 20:45:00,Sub - Feeder F04,0.0,unclassified
1914,2022-01-03 21:00:00,Sub - Feeder F04,0.0,unclassified
1951,2022-01-03 21:15:00,Sub - Feeder F04,0.0,unclassified
1961,2022-01-03 21:30:00,Sub - Feeder F04,0.0,unclassified
1987,2022-01-03 21:45:00,Sub - Feeder F04,0.0,unclassified
2007,2022-01-03 22:00:00,Sub - Feeder F04,0.0,unclassified
2041,2022-01-03 22:15:00,Sub - Feeder F04,0.0,unclassified
2066,2022-01-03 22:30:00,Sub - Feeder F04,0.0,unclassified
2080,2022-01-03 22:45:00,Sub - Feeder F04,0.0,unclassified
2107,2022-01-03 23:00:00,Sub - Feeder F04,0.0,unclassified
2127,2022-01-03 23:15:00,Sub - Feeder F04,0.0,unclassified
2152,2022-01-03 23:30:00,Sub - Feeder F04,0.0,unclassified
2168,2022-01-03 23:45:00,Sub - Feeder F04,0.0,unclassified
2190,2022-01-04 00:00:00,Sub - Feeder F04,0.0,unclassified
