,time,Measure,kWh,label
22,2022-01-03 00:00:00,Sub - Main M2,1000.0,unclassified
32,2022-01-03 00:15:00,Sub - Main M2,1000.0,unclassified
49,2022-01-03 00:30:00,Sub - Main M2,1000.0,unclassified
88,2022-01-03 00:45:00,Sub - Main M2,1000.0,unclassified
99,2022-01-03 01:00:00,Sub - Main M2,1000.0,unclassified
116,2022-01-03 01:15:00,Sub - Main M2,1000.0,unclassified
149,2022-01-03 01:30:00,Sub - Main M2,1000.0,unclassified
174,2022-01-03 01:45:00,Sub - Main M2,1000.0,unclassified
198,2022-01-03 02:00:00,Sub - Main M2,1000.0,unclassified
214,2022-01-03 02:15:00,Sub - Main M2,1000.0,unclassified
239,2022-01-03 02:30:00,Sub - Main M2,1000.0,unclassified
258,2022-01-03 02:45:00,Sub - Main M2,1000.0,unclassified
279,2022-01-03 03:00:00,Sub - Main M2,1000.0,unclassified
314,2022-01-03 03:15:00,Sub - Main M2,1000.0,unclassified
337,2022-01-03 03:30:00,Sub - Main M2,1000.0,unclassified
356,2022-01-03 03:45:00,Sub - Main M2,1000.0,unclassified
376,2022-01-03 04:00:00,Sub - Main M2,1000.0,unclassified
406,2022-01-03 04:15:00,Sub - Main M2,1000.0,unclassified
425,2022-01-03 04:30:00,Sub - Main M2,1000.0,unclassified
441,2022-01-03 04:45:00,Sub - Main M2,1000.0,unclassified
476,2022-01-03 05:00:00,Sub - Main M2,1000.0,unclassified
488,2022-01-03 05:15:00,Sub - Main M2,1062.5,unclassified
523,2022-01-03 05:30:00,Sub - Main M2,1125.0,unclassified
532,2022-01-03 05:45:00,Sub - Main M2,1187.5,unclassified
566,2022-01-03 06:00:00,Sub - Main M2,1250.0,unclassified
583,2022-01-03 06:15:00,Sub - Main M2,1187.5,unclassified
608,2022-01-03 06:30:00,Sub - Main M2,1125.0,unclassified
630,2022-01-03 06:45:00,Sub - Main M2,1062.5,unclassified
648,2022-01-03 07:00:00,Sub - Main M2,1000.0,unclassified
