time,Measure,kWh,label
2022-01-03 00:00:00,AB1 - Main 1L,58.0,unclassified
2022-01-03 01:00:00,AB1 - Main 1L,60.0,unclassified
2022-01-03 02:00:00,AB1 - Main 1L,58.0,unclassified
2022-01-03 03:00:00,AB1 - Main 1L,59.25,unclassified
2022-01-03 04:00:00,AB1 - Main 1L,72.75,unclassified
2022-01-03 05:00:00,AB1 - Main 1L,79.5,unclassified
2022-01-03 06:00:00,AB1 - Main 1L,78.0,unclassified
2022-01-03 07:00:00,AB1 - Main 1L,77.25,unclassified
2022-01-03 08:00:00,AB1 - Main 1L,77.0,unclassified
2022-01-03 09:00:00,AB1 - Main 1L,74.0,unclassified
2022-01-03 10:00:00,AB1 - Main 1L,72.75,unclassified
2022-01-03 11:00:00,AB1 - Main 1L,72.25,unclassified
2022-01-03 12:00:00,AB1 - Main 1L,71.75,unclassified
2022-01-03 13:00:00,AB1 - Main 1L,72.25,unclassified
2022-01-03 14:00:00,AB1 - Main 1L,70.5,unclassified
2022-01-03 15:00:00,AB1 - Main 1L,72.75,unclassified
2022-01-03 16:00:00,AB1 - Main 1L,74.0,unclassified
2022-01-03 17:00:00,AB1 - Main 1L,72.0,unclassified
2022-01-03 18:00:00,AB1 - Main 1L,73.25,unclassified
2022-01-03 19:00:00,AB1 - Main 1L,74.25,unclassified
2022-01-03 20:00:00,AB1 - Main 1L,74.5,unclassified
2022-01-03 21:00:00,AB1 - Main 1L,72.25,unclassified
2022-01-03 22:00:00,AB1 - Main 1L,57.0,unclassified
2022-01-03 23:00:00,AB1 - Main 1L,58.25,unclassified
2022-01-04 00:00:00,AB1 - Main 1L,57.0,unclassified
2022-01-04 01:00:00,AB1 - Main 1L,56.25,unclassified
2022-01-04 02:00:00,AB1 - Main 1L,56.5,unclassified
2022-01-04 03:00:00,AB1 - Main 1L,57.5,unclassified
2022-01-04 04:00:00,AB1 - Main 1L,69.0,unclassified
2022-01-04 05:00:00,AB1 - Main 1L,65.0,unclassified
