time,Measure,kWh,label
2022-01-03 00:00:00,AB3 - Main 3R,38.775,unclassified
2022-01-03 01:00:00,AB3 - Main 3R,39.25,unclassified
2022-01-03 02:00:00,AB3 - Main 3R,38.325,unclassified
2022-01-03 03:00:00,AB3 - Main 3R,39.0,unclassified
2022-01-03 04:00:00,AB3 - Main 3R,45.45,unclassified
2022-01-03 05:00:00,AB3 - Main 3R,49.35,unclassified
2022-01-03 06:00:00,AB3 - Main 3R,43.825,unclassified
2022-01-03 07:00:00,AB3 - Main 3R,43.875,unclassified
2022-01-03 08:00:00,AB3 - Main 3R,45.35,unclassified
2022-01-03 09:00:00,AB3 - Main 3R,43.75,unclassified
2022-01-03 10:00:00,AB3 - Main 3R,43.175,unclassified
2022-01-03 11:00:00,AB3 - Main 3R,43.75,unclassified
2022-01-03 12:00:00,AB3 - Main 3R,43.425,unclassified
2022-01-03 13:00:00,AB3 - Main 3R,41.45,unclassified
2022-01-03 14:00:00,AB3 - Main 3R,39.475,unclassified
2022-01-03 15:00:00,AB3 - Main 3R,39.65,unclassified
2022-01-03 16:00:00,AB3 - Main 3R,39.05,unclassified
2022-01-03 17:00:00,AB3 - Main 3R,38.625,unclassified
2022-01-03 18:00:00,AB3 - Main 3R,39.2,unclassified
2022-01-03 19:00:00,AB3 - Main 3R,37.975,unclassified
2022-01-03 20:00:00,AB3 - Main 3R,39.525,unclassified
2022-01-03 21:00:00,AB3 - Main 3R,39.55,unclassified
2022-01-03 22:00:00,AB3 - Main 3R,38.425,unclassified
2022-01-03 23:00:00,AB3 - Main 3R,38.65,unclassified
2022-01-04 00:00:00,AB3 - Main 3R,39.3,unclassified
2022-01-04 01:00:00,AB3 - Main 3R,38.625,unclassified
2022-01-04 02:00:00,AB3 - Main 3R,38.275,unclassified
2022-01-04 03:00:00,AB3 - Main 3R,38.6,unclassified
2022-01-04 04:00:00,AB3 - Main 3R,44.525,unclassified
2022-01-04 05:00:00,AB3 - Main 3R,43.05,unclassified
2022-01-04 06:00:00,AB3 - Main 3R,39.075,unclassified
2022-01-04 07:00:00,AB3 - Main 3R,39.7,unclassified
2022-01-04 08:00:00,AB3 - Main 3R,37.9,unclassified
2022-01-04 09:00:00,AB3 - Main 3R,37.65,unclassified
2022-01-04 10:00:00,AB3 - Main 3R,37.75,unclassified
2022-01-04 11:00:00,AB3 - Main 3R,40.0,unclassified
2022-01-04 12:00:00,AB3 - Main 3R,40.75,unclassified
2022-01-04 13:00:00,AB3 - Main 3R,38.5,unclassified
2022-01-04 14:00:00,AB3 - Main 3R,37.475,unclassified
2022-01-04 15:00:00,AB3 - Main 3R,37.325,unclassified
2022-01-04 16:00:00,AB3 - Main 3R,36.5,unclassified
2022-01-04 17:00:00,AB3 - Main 3R,37.575,unclassified
2022-01-04 18:00:00,AB3 - Main 3R,36.625,unclassified
2022-01-04 19:00:00,AB3 - Main 3R,37.3,unclassified
2022-01-04 20:00:00,AB3 - Main 3R,37.3,unclassified
2022-01-04 21:00:00,AB3 - Main 3R,37.75,unclassified
2022-01-04 22:00:00,AB3 - Main 3R,37.225,unclassified
2022-01-04 23:00:00,AB3 - Main 3R,36.525,unclassified
2022-01-05 00:00:00,AB3 - Main 3R,37.8,unclassified
2022-01-05 01:00:00,AB3 - Main 3R,37.575,unclassified
2022-01-05 02:00:00,AB3 - Main 3R,36.4,unclassified
2022-01-05 03:00:00,AB3 - Main 3R,37.025,unclassified
2022-01-05 04:00:00,AB3 - Main 3R,40.6,unclassified
2022-01-05 05:00:00,AB3 - Main 3R,39.225,unclassified
2022-01-05 06:00:00,AB3 - Main 3R,38.9,unclassified
2022-01-05 07:00:00,AB3 - Main 3R,37.725,unclassified
2022-01-05 08:00:00,AB3 - Main 3R,37.975,unclassified
2022-01-05 09:00:00,AB3 - Main 3R,37.85,unclassified
2022-01-05 10:00:00,AB3 - Main 3R,37.675,unclassified
2022-01-05 11:00:00,AB3 - Main 3R,35.925,unclassified
2022-01-05 12:00:00,AB3 - Main 3R,35.975,unclassified
2022-01-05 13:00:00,AB3 - Main 3R,36.85,unclassified
2022-01-05 14:00:00,AB3 - Main 3R,34.375,unclassified
2022-01-05 15:00:00,AB3 - Main 3R,36.525,unclassified
2022-01-05 16:00:00,AB3 - Main 3R,37.175,unclassified
2022-01-05 17:00:00,AB3 - Main 3R,36.8,unclassified
2022-01-05 18:00:00,AB3 - Main 3R,37.0,unclassified
2022-01-05 19:00:00,AB3 - Main 3R,36.0,unclassified
2022-01-05 20:00:00,AB3 - Main 3R,36.7,unclassified
2022-01-05 21:00:00,AB3 - Main 3R,37.675,unclassified
2022-01-05 22:00:00,AB3 - Main 3R,36.2,unclassified
2022-01-05 23:00:00,AB3 - Main 3R,37.35,unclassified
2022-01-06 00:00:00,AB3 - Main 3R,37.275,unclassified
2022-01-06 01:00:00,AB3 - Main 3R,37.05,unclassified
2022-01-06 02:00:00,AB3 - Main 3R,36.825,unclassified
2022-01-06 03:00:00,AB3 - Main 3R,37.25,unclassified
2022-01-06 04:00:00,AB3 - Main 3R,37.625,unclassified
2022-01-06 05:00:00,AB3 - Main 3R,36.625,unclassified
2022-01-06 06:00:00,AB3 - Main 3R,38.1,unclassified
2022-01-06 07:00:00,AB3 - Main 3R,39.175,unclassified
2022-01-06 08:00:00,AB3 - Main 3R,37.05,unclassified
2022-01-06 09:00:00,AB3 - Main 3R,36.075,unclassified
2022-01-06 10:00:00,AB3 - Main 3R,36.425,unclassified
2022-01-06 11:00:00,AB3 - Main 3R,35.025,unclassified
2022-01-06 12:00:00,AB3 - Main 3R,35.775,unclassified
2022-01-06 13:00:00,AB3 - Main 3R,38.0,unclassified
2022-01-06 14:00:00,AB3 - Main 3R,36.15,unclassified
2022-01-06 15:00:00,AB3 - Main 3R,36.725,unclassified
2022-01-06 16:00:00,AB3 - Main 3R,35.875,unclassified
2022-01-06 17:00:00,AB3 - Main 3R,36.6,unclassified
2022-01-06 18:00:00,AB3 - Main 3R,36.4,unclassified
2022-01-06 19:00:00,AB3 - Main 3R,36.275,unclassified
2022-01-06 20:00:00,AB3 - Main 3R,35.8,unclassified
2022-01-06 21:00:00,AB3 - Main 3R,37.475,unclassified
2022-01-06 22:00:00,AB3 - Main 3R,37.1,unclassified
2022-01-06 23:00:00,AB3 - Main 3R,36.925,unclassified
2022-01-07 00:00:00,AB3 - Main 3R,36.7,unclassified
2022-01-07 01:00:00,AB3 - Main 3R,37.15,unclassified
2022-01-07 02:00:00,AB3 - Main 3R,36.625,unclassified
2022-01-07 03:00:00,AB3 - Main 3R,36.0,unclassified
2022-01-07 04:00:00,AB3 - Main 3R,37.575,unclassified
2022-01-07 05:00:00,AB3 - Main 3R,37.875,unclassified
2022-01-07 06:00:00,AB3 - Main 3R,38.1,unclassified
2022-01-07 07:00:00,AB3 - Main 3R,37.45,unclassified
2022-01-07 08:00:00,AB3 - Main 3R,37.25,unclassified
2022-01-07 09:00:00,AB3 - Main 3R,35.75,unclassified
2022-01-07 10:00:00,AB3 - Main 3R,36.125,unclassified
2022-01-07 11:00:00,AB3 - Main 3R,35.0,unclassified
2022-01-07 12:00:00,AB3 - Main 3R,36.325,unclassified
2022-01-07 13:00:00,AB3 - Main 3R,37.2,unclassified
2022-01-07 14:00:00,AB3 - Main 3R,36.375,unclassified
2022-01-07 15:00:00,AB3 - Main 3R,36.575,unclassified
2022-01-07 16:00:00,AB3 - Main 3R,36.625,unclassified
2022-01-07 17:00:00,AB3 - Main 3R,36.65,unclassified
2022-01-07 18:00:00,AB3 - Main 3R,36.725,unclassified
2022-01-07 19:00:00,AB3 - Main 3R,36.775,unclassified
2022-01-07 20:00:00,AB3 - Main 3R,36.875,unclassified
2022-01-07 21:00:00,AB3 - Main 3R,36.475,unclassified
2022-01-07 22:00:00,AB3 - Main 3R,37.175,unclassified
2022-01-07 23:00:00,AB3 - Main 3R,36.9,unclassified
2022-01-08 00:00:00,AB3 - Main 3R,37.425,unclassified
2022-01-08 01:00:00,AB3 - Main 3R,36.9,unclassified
2022-01-08 02:00:00,AB3 - Main 3R,36.525,unclassified
2022-01-08 03:00:00,AB3 - Main 3R,37.2,unclassified
2022-01-08 04:00:00,AB3 - Main 3R,36.775,unclassified
2022-01-08 05:00:00,AB3 - Main 3R,37.175,unclassified
2022-01-08 06:00:00,AB3 - Main 3R,35.725,unclassified
2022-01-08 07:00:00,AB3 - Main 3R,35.55,unclassified
2022-01-08 08:00:00,AB3 - Main 3R,35.075,unclassified
2022-01-08 09:00:00,AB3 - Main 3R,34.15,unclassified
2022-01-08 10:00:00,AB3 - Main 3R,33.975,unclassified
2022-01-08 11:00:00,AB3 - Main 3R,34.25,unclassified
2022-01-08 12:00:00,AB3 - Main 3R,34.35,unclassified
2022-01-08 13:00:00,AB3 - Main 3R,33.85,unclassified
2022-01-08 14:00:00,AB3 - Main 3R,33.675,unclassified
2022-01-08 15:00:00,AB3 - Main 3R,35.5,unclassified
2022-01-08 16:00:00,AB3 - Main 3R,35.2,unclassified
2022-01-08 17:00:00,AB3 - Main 3R,34.975,unclassified
