time,Measure,kWh,label
2022-01-03 00:00:00,BS4 - Main 4L,40.25,unclassified
2022-01-03 01:00:00,BS4 - Main 4L,40.0,unclassified
2022-01-03 02:00:00,BS4 - Main 4L,38.25,unclassified
2022-01-03 03:00:00,BS4 - Main 4L,38.5,unclassified
2022-01-03 04:00:00,BS4 - Main 4L,42.25,unclassified
2022-01-03 05:00:00,BS4 - Main 4L,41.75,unclassified
2022-01-03 06:00:00,BS4 - Main 4L,47.5,unclassified
2022-01-03 07:00:00,BS4 - Main 4L,46.25,unclassified
2022-01-03 08:00:00,BS4 - Main 4L,45.5,unclassified
2022-01-03 09:00:00,BS4 - Main 4L,45.5,unclassified
2022-01-03 10:00:00,BS4 - Main 4L,44.0,unclassified
2022-01-03 11:00:00,BS4 - Main 4L,45.25,unclassified
2022-01-03 12:00:00,BS4 - Main 4L,45.0,unclassified
2022-01-03 13:00:00,BS4 - Main 4L,40.5,unclassified
2022-01-03 14:00:00,BS4 - Main 4L,37.25,unclassified
2022-01-03 15:00:00,BS4 - Main 4L,37.5,unclassified
2022-01-03 16:00:00,BS4 - Main 4L,37.75,unclassified
2022-01-03 17:00:00,BS4 - Main 4L,37.5,unclassified
2022-01-03 18:00:00,BS4 - Main 4L,38.25,unclassified
2022-01-03 19:00:00,BS4 - Main 4L,38.0,unclassified
2022-01-03 20:00:00,BS4 - Main 4L,38.75,unclassified
2022-01-03 21:00:00,BS4 - Main 4L,38.25,unclassified
2022-01-03 22:00:00,BS4 - Main 4L,38.0,unclassified
2022-01-03 23:00:00,BS4 - Main 4L,38.25,unclassified
2022-01-04 00:00:00,BS4 - Main 4L,38.0,unclassified
2022-01-04 01:00:00,BS4 - Main 4L,37.25,unclassified
2022-01-04 02:00:00,BS4 - Main 4L,37.75,unclassified
2022-01-04 03:00:00,BS4 - Main 4L,38.0,unclassified
2022-01-04 04:00:00,BS4 - Main 4L,39.75,unclassified
2022-01-04 05:00:00,BS4 - Main 4L,42.0,unclassified
2022-01-04 06:00:00,BS4 - Main 4L,42.0,unclassified
2022-01-04 07:00:00,BS4 - Main 4L,41.5,unclassified
2022-01-04 08:00:00,BS4 - Main 4L,41.0,unclassified
2022-01-04 09:00:00,BS4 - Main 4L,41.75,unclassified
2022-01-04 10:00:00,BS4 - Main 4L,41.0,unclassified
2022-01-04 11:00:00,BS4 - Main 4L,41.5,unclassified
2022-01-04 12:00:00,BS4 - Main 4L,39.75,unclassified
2022-01-04 13:00:00,BS4 - Main 4L,38.25,unclassified
2022-01-04 14:00:00,BS4 - Main 4L,38.0,unclassified
2022-01-04 15:00:00,BS4 - Main 4L,37.75,unclassified
2022-01-04 16:00:00,BS4 - Main 4L,37.75,unclassified
2022-01-04 17:00:00,BS4 - Main 4L,38.0,unclassified
2022-01-04 18:00:00,BS4 - Main 4L,38.75,unclassified
2022-01-04 19:00:00,BS4 - Main 4L,38.5,unclassified
2022-01-04 20:00:00,BS4 - Main 4L,38.75,unclassified
2022-01-04 21:00:00,BS4 - Main 4L,39.5,unclassified
2022-01-04 22:00:00,BS4 - Main 4L,38.75,unclassified
2022-01-04 23:00:00,BS4 - Main 4L,38.0,unclassified
2022-01-05 00:00:00,BS4 - Main 4L,38.5,unclassified
2022-01-05 01:00:00,BS4 - Main 4L,38.5,unclassified
2022-01-05 02:00:00,BS4 - Main 4L,38.25,unclassified
2022-01-05 03:00:00,BS4 - Main 4L,38.0,unclassified
2022-01-05 04:00:00,BS4 - Main 4L,40.25,unclassified
2022-01-05 05:00:00,BS4 - Main 4L,41.25,unclassified
2022-01-05 06:00:00,BS4 - Main 4L,40.0,unclassified
2022-01-05 07:00:00,BS4 - Main 4L,39.5,unclassified
2022-01-05 08:00:00,BS4 - Main 4L,40.75,unclassified
2022-01-05 09:00:00,BS4 - Main 4L,40.0,unclassified
2022-01-05 10:00:00,BS4 - Main 4L,40.5,unclassified
2022-01-05 11:00:00,BS4 - Main 4L,40.0,unclassified
2022-01-05 12:00:00,BS4 - Main 4L,38.75,unclassified
2022-01-05 13:00:00,BS4 - Main 4L,36.0,unclassified
2022-01-05 14:00:00,BS4 - Main 4L,35.25,unclassified
2022-01-05 15:00:00,BS4 - Main 4L,35.75,unclassified
2022-01-05 16:00:00,BS4 - Main 4L,36.75,unclassified
2022-01-05 17:00:00,BS4 - Main 4L,36.75,unclassified
2022-01-05 18:00:00,BS4 - Main 4L,36.75,unclassified
2022-01-05 19:00:00,BS4 - Main 4L,36.5,unclassified
2022-01-05 20:00:00,BS4 - Main 4L,36.545,unclassified
2022-01-05 21:00:00,BS4 - Main 4L,37.0675,unclassified
2022-01-05 22:00:00,BS4 - Main 4L,36.045,unclassified
2022-01-05 23:00:00,BS4 - Main 4L,37.2325,unclassified
2022-01-06 00:00:00,BS4 - Main 4L,36.6575,unclassified
2022-01-06 01:00:00,BS4 - Main 4L,37.175,unclassified
2022-01-06 02:00:00,BS4 - Main 4L,37.18,unclassified
2022-01-06 03:00:00,BS4 - Main 4L,37.2725,unclassified
2022-01-06 04:00:00,BS4 - Main 4L,38.1125,unclassified
2022-01-06 05:00:00,BS4 - Main 4L,40.5675,unclassified
2022-01-06 06:00:00,BS4 - Main 4L,40.7275,unclassified
2022-01-06 07:00:00,BS4 - Main 4L,40.68,unclassified
2022-01-06 08:00:00,BS4 - Main 4L,40.265,unclassified
2022-01-06 09:00:00,BS4 - Main 4L,40.28,unclassified
2022-01-06 10:00:00,BS4 - Main 4L,39.7625,unclassified
2022-01-06 11:00:00,BS4 - Main 4L,39.345,unclassified
2022-01-06 12:00:00,BS4 - Main 4L,37.7575,unclassified
2022-01-06 13:00:00,BS4 - Main 4L,34.755,unclassified
