time,Measure,kWh,label
2022-01-15 10:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-16 07:00:00,Sub - Feeder F04,0.75,unclassified
2022-01-17 07:00:00,Sub - Feeder F04,0.5,unclassified
2022-01-17 08:00:00,Sub - Feeder F04,1.5,unclassified
2022-01-17 09:00:00,Sub - Feeder F04,2.25,unclassified
2022-01-17 10:00:00,Sub - Feeder F04,4.25,unclassified
2022-01-18 05:00:00,Sub - Feeder F04,2.75,unclassified
2022-01-18 06:00:00,Sub - Feeder F04,3.0,unclassified
2022-01-18 11:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-19 04:00:00,Sub - Feeder F04,0.75,unclassified
2022-01-19 05:00:00,Sub - Feeder F04,3.75,unclassified
2022-01-19 08:00:00,Sub - Feeder F04,0.5,unclassified
2022-01-19 09:00:00,Sub - Feeder F04,0.5,unclassified
2022-01-19 11:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-20 07:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-20 09:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-20 10:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-21 05:00:00,Sub - Feeder F04,5.25,unclassified
2022-01-21 06:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-21 07:00:00,Sub - Feeder F04,3.75,unclassified
2022-01-21 08:00:00,Sub - Feeder F04,4.0,unclassified
2022-01-21 09:00:00,Sub - Feeder F04,1.75,unclassified
2022-01-21 10:00:00,Sub - Feeder F04,1.0,unclassified
2022-01-21 11:00:00,Sub - Feeder F04,0.5,unclassified
2022-01-21 12:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-22 05:00:00,Sub - Feeder F04,7.25,unclassified
2022-01-22 07:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-22 08:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-23 05:00:00,Sub - Feeder F04,2.5,unclassified
2022-01-23 06:00:00,Sub - Feeder F04,4.75,unclassified
2022-01-23 07:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-23 09:00:00,Sub - Feeder F04,1.0,unclassified
2022-01-23 21:00:00,Sub - Feeder F04,1.25,unclassified
2022-01-23 22:00:00,Sub - Feeder F04,1.5,unclassified
2022-01-24 00:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-24 01:00:00,Sub - Feeder F04,0.5,unclassified
2022-01-24 02:00:00,Sub - Feeder F04,2.0,unclassified
2022-01-24 03:00:00,Sub - Feeder F04,0.75,unclassified
2022-01-24 06:00:00,Sub - Feeder F04,40.0,unclassified
2022-01-24 07:00:00,Sub - Feeder F04,40.25,unclassified
2022-01-24 08:00:00,Sub - Feeder F04,42.25,unclassified
2022-01-24 09:00:00,Sub - Feeder F04,45.0,unclassified
2022-01-24 10:00:00,Sub - Feeder F04,29.25,unclassified
2022-01-24 11:00:00,Sub - Feeder F04,24.5,unclassified
2022-01-24 12:00:00,Sub - Feeder F04,23.5,unclassified
2022-01-24 13:00:00,Sub - Feeder F04,9.5,unclassified
2022-01-24 14:00:00,Sub - Feeder F04,51.25,unclassified
2022-01-24 15:00:00,Sub - Feeder F04,49.75,unclassified
2022-01-24 17:00:00,Sub - Feeder F04,28.0,unclassified
2022-01-24 18:00:00,Sub - Feeder F04,55.25,unclassified
2022-01-24 22:00:00,Sub - Feeder F04,1.0,unclassified
2022-01-24 23:00:00,Sub - Feeder F04,1.25,unclassified
2022-01-25 00:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-25 02:00:00,Sub - Feeder F04,0.5,unclassified
2022-01-25 03:00:00,Sub - Feeder F04,3.5,unclassified
2022-01-25 04:00:00,Sub - Feeder F04,5.0,unclassified
2022-01-25 05:00:00,Sub - Feeder F04,44.75,unclassified
2022-01-25 06:00:00,Sub - Feeder F04,48.75,unclassified
2022-01-25 07:00:00,Sub - Feeder F04,55.25,unclassified
2022-01-25 08:00:00,Sub - Feeder F04,17.75,unclassified
2022-01-25 12:00:00,Sub - Feeder F04,48.5,unclassified
2022-01-25 13:00:00,Sub - Feeder F04,10.0,unclassified
2022-01-25 14:00:00,Sub - Feeder F04,52.25,unclassified
2022-01-25 15:00:00,Sub - Feeder F04,25.25,unclassified
2022-01-25 16:00:00,Sub - Feeder F04,44.0,unclassified
2022-01-25 17:00:00,Sub - Feeder F04,18.5,unclassified
2022-01-25 23:00:00,Sub - Feeder F04,0.25,unclassified
2022-01-26 02:00:00,Sub - Feeder F04,2.25,unclassified
2022-01-26 03:00:00,Sub - Feeder F04,3.25,unclassified
2022-01-26 04:00:00,Sub - Feeder F04,5.25,unclassified
2022-01-26 05:00:00,Sub - Feeder F04,34.0,unclassified
2022-01-26 06:00:00,Sub - Feeder F04,38.5,unclassified
2022-01-26 07:00:00,Sub - Feeder F04,13.0,unclassified
2022-01-26 08:00:00,Sub - Feeder F04,12.25,unclassified
2022-01-26 09:00:00,Sub - Feeder F04,14.75,unclassified
2022-01-26 10:00:00,Sub - Feeder F04,26.0,unclassified
2022-01-26 11:00:00,Sub - Feeder F04,23.25,unclassified
2022-01-26 12:00:00,Sub - Feeder F04,10.25,unclassified
2022-01-26 13:00:00,Sub - Feeder F04,6.0,unclassified
2022-01-26 15:00:00,Sub - Feeder F04,51.0,unclassified
2022-01-26 16:00:00,Sub - Feeder F04,52.5,unclassified
2022-01-26 17:00:00,Sub - Feeder F04,39.5,unclassified
2022-01-26 18:00:00,Sub - Feeder F04,52.75,unclassified
2022-01-26 23:00:00,Sub - Feeder F04,1.25,unclassified
2022-01-27 00:00:00,Sub - Feeder F04,0.5,unclassified
