time,Measure,kWh,label
2022-01-03 00:00:00,AB2 - Main 2R,109.25,unclassified
2022-01-03 00:15:00,AB2 - Main 2R,109.0,unclassified
2022-01-03 00:30:00,AB2 - Main 2R,108.75,unclassified
2022-01-03 00:45:00,AB2 - Main 2R,108.5,unclassified
2022-01-03 01:00:00,AB2 - Main 2R,108.25,unclassified
2022-01-03 01:15:00,AB2 - Main 2R,107.75,unclassified
2022-01-03 01:30:00,AB2 - Main 2R,107.25,unclassified
2022-01-03 01:45:00,AB2 - Main 2R,106.75,unclassified
2022-01-03 02:00:00,AB2 - Main 2R,106.25,unclassified
2022-01-03 02:15:00,AB2 - Main 2R,106.5,unclassified
2022-01-03 02:30:00,AB2 - Main 2R,106.75,unclassified
2022-01-03 02:45:00,AB2 - Main 2R,107.0,unclassified
2022-01-03 03:00:00,AB2 - Main 2R,107.25,unclassified
2022-01-03 03:15:00,AB2 - Main 2R,108.0625,unclassified
2022-01-03 03:30:00,AB2 - Main 2R,108.875,unclassified
2022-01-03 03:45:00,AB2 - Main 2R,109.6875,unclassified
2022-01-03 04:00:00,AB2 - Main 2R,110.5,unclassified
2022-01-03 04:15:00,AB2 - Main 2R,111.875,unclassified
2022-01-03 04:30:00,AB2 - Main 2R,113.25,unclassified
2022-01-03 04:45:00,AB2 - Main 2R,114.625,unclassified
2022-01-03 05:00:00,AB2 - Main 2R,116.0,unclassified
2022-01-03 05:15:00,AB2 - Main 2R,107.0,unclassified
2022-01-03 05:30:00,AB2 - Main 2R,98.0,unclassified
2022-01-03 05:45:00,AB2 - Main 2R,89.0,unclassified
2022-01-03 06:00:00,AB2 - Main 2R,80.0,unclassified
2022-01-03 06:15:00,AB2 - Main 2R,74.3125,unclassified
2022-01-03 06:30:00,AB2 - Main 2R,68.625,unclassified
2022-01-03 06:45:00,AB2 - Main 2R,62.9375,unclassified
2022-01-03 07:00:00,AB2 - Main 2R,57.25,unclassified
2022-01-03 07:15:00,AB2 - Main 2R,56.75,unclassified
2022-01-03 07:30:00,AB2 - Main 2R,56.25,unclassified
2022-01-03 07:45:00,AB2 - Main 2R,55.75,unclassified
2022-01-03 08:00:00,AB2 - Main 2R,55.25,unclassified
2022-01-03 08:15:00,AB2 - Main 2R,55.1875,unclassified
2022-01-03 08:30:00,AB2 - Main 2R,55.125,unclassified
2022-01-03 08:45:00,AB2 - Main 2R,55.0625,unclassified
2022-01-03 09:00:00,AB2 - Main 2R,55.0,unclassified
2022-01-03 09:15:00,AB2 - Main 2R,54.6875,unclassified
2022-01-03 09:30:00,AB2 - Main 2R,54.375,unclassified
2022-01-03 09:45:00,AB2 - Main 2R,54.0625,unclassified
2022-01-03 10:00:00,AB2 - Main 2R,53.75,unclassified
2022-01-03 10:15:00,AB2 - Main 2R,54.6875,unclassified
2022-01-03 10:30:00,AB2 - Main 2R,55.625,unclassified
2022-01-03 10:45:00,AB2 - Main 2R,56.5625,unclassified
2022-01-03 11:00:00,AB2 - Main 2R,57.5,unclassified
2022-01-03 11:15:00,AB2 - Main 2R,56.5625,unclassified
2022-01-03 11:30:00,AB2 - Main 2R,55.625,unclassified
2022-01-03 11:45:00,AB2 - Main 2R,54.6875,unclassified
2022-01-03 12:00:00,AB2 - Main 2R,53.75,unclassified
2022-01-03 12:15:00,AB2 - Main 2R,53.1875,unclassified
2022-01-03 12:30:00,AB2 - Main 2R,52.625,unclassified
2022-01-03 12:45:00,AB2 - Main 2R,52.0625,unclassified
2022-01-03 13:00:00,AB2 - Main 2R,51.5,unclassified
2022-01-03 13:15:00,AB2 - Main 2R,51.125,unclassified
2022-01-03 13:30:00,AB2 - Main 2R,50.75,unclassified
2022-01-03 13:45:00,AB2 - Main 2R,50.375,unclassified
2022-01-03 14:00:00,AB2 - Main 2R,50.0,unclassified
2022-01-03 14:15:00,AB2 - Main 2R,49.5625,unclassified
2022-01-03 14:30:00,AB2 - Main 2R,49.125,unclassified
2022-01-03 14:45:00,AB2 - Main 2R,48.6875,unclassified
2022-01-03 15:00:00,AB2 - Main 2R,48.25,unclassified
2022-01-03 15:15:00,AB2 - Main 2R,48.125,unclassified
2022-01-03 15:30:00,AB2 - Main 2R,48.0,unclassified
2022-01-03 15:45:00,AB2 - Main 2R,47.875,unclassified
2022-01-03 16:00:00,AB2 - Main 2R,47.75,unclassified
2022-01-03 16:15:00,AB2 - Main 2R,47.75,unclassified
2022-01-03 16:30:00,AB2 - Main 2R,47.75,unclassified
2022-01-03 16:45:00,AB2 - Main 2R,47.75,unclassified
2022-01-03 17:00:00,AB2 - Main 2R,47.75,unclassified
2022-01-03 17:15:00,AB2 - Main 2R,47.875,unclassified
2022-01-03 17:30:00,AB2 - Main 2R,48.0,unclassified
2022-01-03 17:45:00,AB2 - Main 2R,48.125,unclassified
