time,Measure,kWh,label
2022-01-03 00:00:00,BS3 - Main 3R,38.25,unclassified
2022-01-03 00:15:00,BS3 - Main 3R,38.3125,unclassified
2022-01-03 00:30:00,BS3 - Main 3R,38.375,unclassified
2022-01-03 00:45:00,BS3 - Main 3R,38.4375,unclassified
2022-01-03 01:00:00,BS3 - Main 3R,38.5,unclassified
2022-01-03 01:15:00,BS3 - Main 3R,38.3125,unclassified
2022-01-03 01:30:00,BS3 - Main 3R,38.125,unclassified
2022-01-03 01:45:00,BS3 - Main 3R,37.9375,unclassified
2022-01-03 02:00:00,BS3 - Main 3R,37.75,unclassified
2022-01-03 02:15:00,BS3 - Main 3R,38.3125,unclassified
2022-01-03 02:30:00,BS3 - Main 3R,38.875,unclassified
2022-01-03 02:45:00,BS3 - Main 3R,39.4375,unclassified
2022-01-03 03:00:00,BS3 - Main 3R,40.0,unclassified
2022-01-03 03:15:00,BS3 - Main 3R,40.375,unclassified
2022-01-03 03:30:00,BS3 - Main 3R,40.75,unclassified
2022-01-03 03:45:00,BS3 - Main 3R,41.125,unclassified
2022-01-03 04:00:00,BS3 - Main 3R,41.5,unclassified
2022-01-03 04:15:00,BS3 - Main 3R,42.5625,unclassified
2022-01-03 04:30:00,BS3 - Main 3R,43.625,unclassified
2022-01-03 04:45:00,BS3 - Main 3R,44.6875,unclassified
2022-01-03 05:00:00,BS3 - Main 3R,45.75,unclassified
2022-01-03 05:15:00,BS3 - Main 3R,46.125,unclassified
2022-01-03 05:30:00,BS3 - Main 3R,46.5,unclassified
2022-01-03 05:45:00,BS3 - Main 3R,46.875,unclassified
2022-01-03 06:00:00,BS3 - Main 3R,47.25,unclassified
2022-01-03 06:15:00,BS3 - Main 3R,47.1875,unclassified
2022-01-03 06:30:00,BS3 - Main 3R,47.125,unclassified
2022-01-03 06:45:00,BS3 - Main 3R,47.0625,unclassified
2022-01-03 07:00:00,BS3 - Main 3R,47.0,unclassified
2022-01-03 07:15:00,BS3 - Main 3R,46.375,unclassified
2022-01-03 07:30:00,BS3 - Main 3R,45.75,unclassified
2022-01-03 07:45:00,BS3 - Main 3R,45.125,unclassified
2022-01-03 08:00:00,BS3 - Main 3R,44.5,unclassified
