time,Measure,kWh,label
2022-01-03 00:00:00,FB1 - Main 1L,26.5,unclassified
2022-01-03 00:15:00,FB1 - Main 1L,26.5,unclassified
2022-01-03 00:30:00,FB1 - Main 1L,26.5,unclassified
2022-01-03 00:45:00,FB1 - Main 1L,26.5,unclassified
2022-01-03 01:00:00,FB1 - Main 1L,26.5,unclassified
2022-01-03 01:15:00,FB1 - Main 1L,26.375,unclassified
2022-01-03 01:30:00,FB1 - Main 1L,26.25,unclassified
2022-01-03 01:45:00,FB1 - Main 1L,26.125,unclassified
2022-01-03 02:00:00,FB1 - Main 1L,26.0,unclassified
2022-01-03 02:15:00,FB1 - Main 1L,26.1875,unclassified
2022-01-03 02:30:00,FB1 - Main 1L,26.375,unclassified
2022-01-03 02:45:00,FB1 - Main 1L,26.5625,unclassified
2022-01-03 03:00:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 03:15:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 03:30:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 03:45:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 04:00:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 04:15:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 04:30:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 04:45:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 05:00:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 05:15:00,FB1 - Main 1L,26.6875,unclassified
2022-01-03 05:30:00,FB1 - Main 1L,26.625,unclassified
2022-01-03 05:45:00,FB1 - Main 1L,26.5625,unclassified
2022-01-03 06:00:00,FB1 - Main 1L,26.5,unclassified
2022-01-03 06:15:00,FB1 - Main 1L,26.5625,unclassified
2022-01-03 06:30:00,FB1 - Main 1L,26.625,unclassified
2022-01-03 06:45:00,FB1 - Main 1L,26.6875,unclassified
2022-01-03 07:00:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 07:15:00,FB1 - Main 1L,26.8125,unclassified
2022-01-03 07:30:00,FB1 - Main 1L,26.875,unclassified
2022-01-03 07:45:00,FB1 - Main 1L,26.9375,unclassified
2022-01-03 08:00:00,FB1 - Main 1L,27.0,unclassified
2022-01-03 08:15:00,FB1 - Main 1L,26.875,unclassified
2022-01-03 08:30:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 08:45:00,FB1 - Main 1L,26.625,unclassified
2022-01-03 09:00:00,FB1 - Main 1L,26.5,unclassified
2022-01-03 09:15:00,FB1 - Main 1L,26.375,unclassified
2022-01-03 09:30:00,FB1 - Main 1L,26.25,unclassified
2022-01-03 09:45:00,FB1 - Main 1L,26.125,unclassified
2022-01-03 10:00:00,FB1 - Main 1L,26.0,unclassified
2022-01-03 10:15:00,FB1 - Main 1L,26.125,unclassified
2022-01-03 10:30:00,FB1 - Main 1L,26.25,unclassified
2022-01-03 10:45:00,FB1 - Main 1L,26.375,unclassified
2022-01-03 11:00:00,FB1 - Main 1L,26.5,unclassified
2022-01-03 11:15:00,FB1 - Main 1L,26.5625,unclassified
2022-01-03 11:30:00,FB1 - Main 1L,26.625,unclassified
2022-01-03 11:45:00,FB1 - Main 1L,26.6875,unclassified
2022-01-03 12:00:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 12:15:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 12:30:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 12:45:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 13:00:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 13:15:00,FB1 - Main 1L,26.8125,unclassified
2022-01-03 13:30:00,FB1 - Main 1L,26.875,unclassified
2022-01-03 13:45:00,FB1 - Main 1L,26.9375,unclassified
2022-01-03 14:00:00,FB1 - Main 1L,27.0,unclassified
2022-01-03 14:15:00,FB1 - Main 1L,26.9375,unclassified
2022-01-03 14:30:00,FB1 - Main 1L,26.875,unclassified
2022-01-03 14:45:00,FB1 - Main 1L,26.8125,unclassified
2022-01-03 15:00:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 15:15:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 15:30:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 15:45:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 16:00:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 16:15:00,FB1 - Main 1L,26.6875,unclassified
2022-01-03 16:30:00,FB1 - Main 1L,26.625,unclassified
2022-01-03 16:45:00,FB1 - Main 1L,26.5625,unclassified
2022-01-03 17:00:00,FB1 - Main 1L,26.5,unclassified
2022-01-03 17:15:00,FB1 - Main 1L,26.625,unclassified
2022-01-03 17:30:00,FB1 - Main 1L,26.75,unclassified
2022-01-03 17:45:00,FB1 - Main 1L,26.875,unclassified
2022-01-03 18:00:00,FB1 - Main 1L,27.0,unclassified
2022-01-03 18:15:00,FB1 - Main 1L,27.0,unclassified
2022-01-03 18:30:00,FB1 - Main 1L,27.0,unclassified
2022-01-03 18:45:00,FB1 - Main 1L,27.0,unclassified
2022-01-03 19:00:00,FB1 - Main 1L,27.0,unclassified
2022-01-03 19:15:00,FB1 - Main 1L,26.625,unclassified
2022-01-03 19:30:00,FB1 - Main 1L,26.25,unclassified
2022-01-03 19:45:00,FB1 - Main 1L,25.875,unclassified
2022-01-03 20:00:00,FB1 - Main 1L,25.5,unclassified
2022-01-03 20:15:00,FB1 - Main 1L,25.4375,unclassified
