time,Measure,kWh,label
2022-01-03 00:00:00,MSB1 - Main 1L,119.25,unclassified
2022-01-03 00:15:00,MSB1 - Main 1L,118.0,unclassified
2022-01-03 00:30:00,MSB1 - Main 1L,116.75,unclassified
2022-01-03 00:45:00,MSB1 - Main 1L,115.5,unclassified
2022-01-03 01:00:00,MSB1 - Main 1L,114.25,unclassified
2022-01-03 01:15:00,MSB1 - Main 1L,115.75,unclassified
2022-01-03 01:30:00,MSB1 - Main 1L,117.25,unclassified
2022-01-03 01:45:00,MSB1 - Main 1L,118.75,unclassified
2022-01-03 02:00:00,MSB1 - Main 1L,120.25,unclassified
2022-01-03 02:15:00,MSB1 - Main 1L,120.75,unclassified
2022-01-03 02:30:00,MSB1 - Main 1L,121.25,unclassified
2022-01-03 02:45:00,MSB1 - Main 1L,121.75,unclassified
2022-01-03 03:00:00,MSB1 - Main 1L,122.25,unclassified
2022-01-03 03:15:00,MSB1 - Main 1L,122.1875,unclassified
2022-01-03 03:30:00,MSB1 - Main 1L,122.125,unclassified
2022-01-03 03:45:00,MSB1 - Main 1L,122.0625,unclassified
2022-01-03 04:00:00,MSB1 - Main 1L,122.0,unclassified
2022-01-03 04:15:00,MSB1 - Main 1L,121.6875,unclassified
2022-01-03 04:30:00,MSB1 - Main 1L,121.375,unclassified
2022-01-03 04:45:00,MSB1 - Main 1L,121.0625,unclassified
2022-01-03 05:00:00,MSB1 - Main 1L,120.75,unclassified
2022-01-03 05:15:00,MSB1 - Main 1L,119.6875,unclassified
2022-01-03 05:30:00,MSB1 - Main 1L,118.625,unclassified
2022-01-03 05:45:00,MSB1 - Main 1L,117.5625,unclassified
2022-01-03 06:00:00,MSB1 - Main 1L,116.5,unclassified
2022-01-03 06:15:00,MSB1 - Main 1L,116.25,unclassified
2022-01-03 06:30:00,MSB1 - Main 1L,116.0,unclassified
2022-01-03 06:45:00,MSB1 - Main 1L,115.75,unclassified
2022-01-03 07:00:00,MSB1 - Main 1L,115.5,unclassified
2022-01-03 07:15:00,MSB1 - Main 1L,117.75,unclassified
2022-01-03 07:30:00,MSB1 - Main 1L,120.0,unclassified
