time,Measure,kWh,label
2022-01-03 00:00:00,Paint_AHU,50.25,unclassified
2022-01-03 00:15:00,Paint_AHU,50.125,unclassified
2022-01-03 00:30:00,Paint_AHU,50.0,unclassified
2022-01-03 00:45:00,Paint_AHU,49.875,unclassified
2022-01-03 01:00:00,Paint_AHU,49.75,unclassified
2022-01-03 01:15:00,Paint_AHU,49.5,unclassified
2022-01-03 01:30:00,Paint_AHU,49.25,unclassified
2022-01-03 01:45:00,Paint_AHU,49.0,unclassified
2022-01-03 02:00:00,Paint_AHU,48.75,unclassified
2022-01-03 02:15:00,Paint_AHU,49.125,unclassified
2022-01-03 02:30:00,Paint_AHU,49.5,unclassified
2022-01-03 02:45:00,Paint_AHU,49.875,unclassified
2022-01-03 03:00:00,Paint_AHU,50.25,unclassified
2022-01-03 03:15:00,Paint_AHU,50.1875,unclassified
2022-01-03 03:30:00,Paint_AHU,50.125,unclassified
2022-01-03 03:45:00,Paint_AHU,50.0625,unclassified
2022-01-03 04:00:00,Paint_AHU,50.0,unclassified
2022-01-03 04:15:00,Paint_AHU,50.0625,unclassified
2022-01-03 04:30:00,Paint_AHU,50.125,unclassified
2022-01-03 04:45:00,Paint_AHU,50.1875,unclassified
2022-01-03 05:00:00,Paint_AHU,50.25,unclassified
2022-01-03 05:15:00,Paint_AHU,50.3125,unclassified
2022-01-03 05:30:00,Paint_AHU,50.375,unclassified
2022-01-03 05:45:00,Paint_AHU,50.4375,unclassified
2022-01-03 06:00:00,Paint_AHU,50.5,unclassified
2022-01-03 06:15:00,Paint_AHU,50.25,unclassified
2022-01-03 06:30:00,Paint_AHU,50.0,unclassified
2022-01-03 06:45:00,Paint_AHU,49.75,unclassified
2022-01-03 07:00:00,Paint_AHU,49.5,unclassified
2022-01-03 07:15:00,Paint_AHU,49.5625,unclassified
2022-01-03 07:30:00,Paint_AHU,49.625,unclassified
2022-01-03 07:45:00,Paint_AHU,49.6875,unclassified
2022-01-03 08:00:00,Paint_AHU,49.75,unclassified
2022-01-03 08:15:00,Paint_AHU,49.5625,unclassified
2022-01-03 08:30:00,Paint_AHU,49.375,unclassified
2022-01-03 08:45:00,Paint_AHU,49.1875,unclassified
2022-01-03 09:00:00,Paint_AHU,49.0,unclassified
2022-01-03 09:15:00,Paint_AHU,49.0,unclassified
2022-01-03 09:30:00,Paint_AHU,49.0,unclassified
2022-01-03 09:45:00,Paint_AHU,49.0,unclassified
2022-01-03 10:00:00,Paint_AHU,49.0,unclassified
2022-01-03 10:15:00,Paint_AHU,49.0625,unclassified
2022-01-03 10:30:00,Paint_AHU,49.125,unclassified
2022-01-03 10:45:00,Paint_AHU,49.1875,unclassified
2022-01-03 11:00:00,Paint_AHU,49.25,unclassified
2022-01-03 11:15:00,Paint_AHU,48.8125,unclassified
2022-01-03 11:30:00,Paint_AHU,48.375,unclassified
2022-01-03 11:45:00,Paint_AHU,47.9375,unclassified
2022-01-03 12:00:00,Paint_AHU,47.5,unclassified
2022-01-03 12:15:00,Paint_AHU,47.9375,unclassified
2022-01-03 12:30:00,Paint_AHU,48.375,unclassified
2022-01-03 12:45:00,Paint_AHU,48.8125,unclassified
2022-01-03 13:00:00,Paint_AHU,49.25,unclassified
2022-01-03 13:15:00,Paint_AHU,49.0625,unclassified
2022-01-03 13:30:00,Paint_AHU,48.875,unclassified
2022-01-03 13:45:00,Paint_AHU,48.6875,unclassified
2022-01-03 14:00:00,Paint_AHU,48.5,unclassified
2022-01-03 14:15:00,Paint_AHU,48.75,unclassified
2022-01-03 14:30:00,Paint_AHU,49.0,unclassified
